@RELATION train_model_lap_smoothing_75.arff

@ATTRIBUTE x_value NUMERIC
@ATTRIBUTE y_value NUMERIC
@ATTRIBUTE clase { N, Y }

@DATA
-8671 , -2129, Y
-13333 , -2882, N
-8952 , -2025, Y
-8977 , -2019, Y
-8596 , -1832, Y
-9104 , -1788, Y
-8745 , -2058, N
-11846 , -2456, Y
-10676 , -2192, N
-8899 , -2014, N
-8639 , -2137, Y
-6185 , -1349, N
-10694 , -2090, Y
-12539 , -2799, N
-9294 , -1676, Y
-8705 , -1978, Y
-12084 , -2517, N
-11548 , -2134, Y
-8644 , -2454, N
-10830 , -2146, N
-7585 , -1563, N
-11788 , -2401, Y
-6202 , -1388, N
-10178 , -2461, N
-7054 , -1462, N
-9737 , -1833, N
-9281 , -1693, Y
-8668 , -1994, Y
-11646 , -2511, N
-9280 , -1679, Y
-8548 , -1830, Y
-16046 , -3487, N
-8704 , -1996, Y
-8160 , -1735, Y
-5889 , -1299, N
-8533 , -1831, Y
-9833 , -1867, N
-8784 , -2190, N
-9122 , -1796, Y
-10724 , -2091, Y
-5827 , -1244, N
-9277 , -2270, N
-10121 , -2348, N
-6141 , -1346, N
-11509 , -2392, Y
-10138 , -1953, N
-12234 , -2522, N
-9231 , -2165, Y
-9244 , -1678, Y
-8538 , -1841, Y
-6374 , -1143, N
-6907 , -1427, N
-8792 , -2084, Y
-9244 , -1678, Y
-12084 , -2579, N
-7524 , -1567, N
-9129 , -1792, Y
-9244 , -2173, Y
-8548 , -1830, Y
-8517 , -1818, Y
-8555 , -1850, Y
-8772 , -1595, Y
-9444 , -1781, N
-9014 , -2034, Y
-8729 , -2154, Y
-8893 , -2221, N
-7219 , -1640, N
-10709 , -2104, Y
-13144 , -2760, Y
-9656 , -1904, N
-10681 , -2077, Y
-6662 , -1392, N
-6619 , -1333, N
-9812 , -1994, N
-11942 , -2280, N
-9986 , -2099, N
-8352 , -1873, N
-8581 , -1841, Y
-10693 , -2075, Y
-11965 , -2258, Y
-7448 , -1501, N
-7376 , -1653, N
-8630 , -1864, Y
-8999 , -2069, N
-27418 , -6087, N
-11965 , -2258, Y
-7265 , -1458, N
-8980 , -1983, Y
-8658 , -1880, N
-8610 , -2366, Y
-8775 , -2051, N
-13081 , -2756, Y
-13080 , -2755, Y
-11823 , -2364, Y
-11792 , -2377, Y
-8677 , -2057, N
-11952 , -2287, N
-8846 , -1709, N
-8678 , -1988, Y
-10855 , -2127, N
