@RELATION train_model_GT_smoothing_100.arff

@ATTRIBUTE x_value NUMERIC
@ATTRIBUTE y_value NUMERIC
@ATTRIBUTE clase { N, Y }

@DATA
-10909 , -2162, Y
-16424 , -2719, N
-10852 , -1952, Y
-10915 , -1932, Y
-10666 , -1830, Y
-11367 , -1859, Y
-11082 , -1979, N
-14902 , -2409, Y
-12939 , -2220, N
-11189 , -2000, N
-10904 , -2173, Y
-7686 , -1222, N
-13388 , -2109, Y
-15239 , -2740, N
-11753 , -1828, Y
-10668 , -1958, Y
-14867 , -2375, N
-14229 , -2166, Y
-10876 , -2308, N
-13596 , -2219, N
-9449 , -1544, N
-14717 , -2327, Y
-7721 , -1301, N
-12800 , -2184, N
-8777 , -1445, N
-11762 , -1923, N
-11727 , -1814, Y
-10569 , -2043, Y
-14532 , -2240, N
-11693 , -1831, Y
-10729 , -1894, Y
-19904 , -3276, N
-10615 , -2020, Y
-10524 , -1914, Y
-7364 , -1276, N
-10707 , -1901, Y
-11887 , -1985, N
-10822 , -1936, N
-11342 , -1828, Y
-13367 , -2109, Y
-7360 , -1294, N
-11137 , -2017, N
-12705 , -2313, N
-7685 , -1401, N
-14394 , -2278, Y
-12354 , -2063, N
-15195 , -2347, N
-11062 , -2028, Y
-11678 , -1815, Y
-10753 , -1914, Y
-7862 , -1208, N
-8736 , -1429, N
-10768 , -2005, Y
-11678 , -1815, Y
-14973 , -2372, N
-9441 , -1483, N
-11383 , -1825, Y
-11051 , -2022, Y
-10729 , -1894, Y
-10721 , -1931, Y
-10671 , -1925, Y
-11147 , -1665, Y
-11760 , -1864, N
-10899 , -1960, Y
-10874 , -2093, Y
-10975 , -2070, N
-8978 , -1570, N
-13091 , -2076, Y
-16343 , -2651, Y
-12201 , -2040, N
-13396 , -2091, Y
-8311 , -1359, N
-8416 , -1409, N
-12274 , -1997, N
-14399 , -2291, N
-12199 , -2054, N
-10577 , -1869, N
-10710 , -1839, Y
-13387 , -2083, Y
-14727 , -2175, Y
-9282 , -1515, N
-9038 , -1600, N
-10597 , -1836, Y
-10989 , -1952, N
-34311 , -5744, N
-14727 , -2175, Y
-9162 , -1468, N
-11199 , -1980, Y
-10707 , -1865, N
-10727 , -2140, Y
-11113 , -1946, N
-16345 , -2706, Y
-16426 , -2736, Y
-14948 , -2235, Y
-14790 , -2291, Y
-10701 , -2040, N
-14928 , -2429, N
-11207 , -1832, N
-10666 , -1912, Y
-13322 , -2158, N
