@RELATION train_model_GT_smoothing_25.arff

@ATTRIBUTE x_value NUMERIC
@ATTRIBUTE y_value NUMERIC
@ATTRIBUTE clase { N, Y }

@DATA
-2791 , -543, Y
-4108 , -667, N
-2661 , -490, Y
-2674 , -491, Y
-2692 , -453, Y
-2889 , -454, Y
-2778 , -496, N
-3733 , -587, Y
-3308 , -535, N
-2805 , -488, N
-2789 , -561, Y
-1963 , -311, N
-3325 , -500, Y
-3849 , -680, N
-2957 , -431, Y
-2594 , -504, Y
-3704 , -610, N
-3561 , -554, Y
-2723 , -576, N
-3395 , -540, N
-2372 , -389, N
-3645 , -601, Y
-1975 , -330, N
-3140 , -553, N
-2214 , -362, N
-2945 , -485, N
-2950 , -426, Y
-2580 , -551, Y
-3646 , -535, N
-2945 , -433, Y
-2700 , -473, Y
-4971 , -826, N
-2575 , -542, Y
-2608 , -475, Y
-1849 , -346, N
-2692 , -478, Y
-3000 , -496, N
-2707 , -501, N
-2876 , -447, Y
-3333 , -498, Y
-1827 , -343, N
-2788 , -483, N
-3126 , -582, N
-1971 , -360, N
-3580 , -549, Y
-3090 , -495, N
-3747 , -588, N
-2807 , -481, Y
-2935 , -418, Y
-2696 , -483, Y
-2016 , -297, N
-2206 , -345, N
-2695 , -501, Y
-2935 , -418, Y
-3712 , -589, N
-2360 , -385, N
-2876 , -447, Y
-2798 , -482, Y
-2700 , -473, Y
-2700 , -485, Y
-2678 , -487, Y
-2807 , -386, Y
-2947 , -465, N
-2664 , -487, Y
-2767 , -529, Y
-2814 , -503, N
-2294 , -389, N
-3223 , -503, Y
-4099 , -645, Y
-3036 , -530, N
-3334 , -490, Y
-2105 , -354, N
-2123 , -361, N
-3061 , -498, N
-3607 , -584, N
-3076 , -493, N
-2617 , -458, N
-2698 , -460, Y
-3319 , -488, Y
-3712 , -560, Y
-2297 , -392, N
-2304 , -390, N
-2668 , -465, Y
-2717 , -487, N
-8624 , -1403, N
-3712 , -560, Y
-2281 , -378, N
-2816 , -481, Y
-2677 , -461, N
-2705 , -534, Y
-2795 , -498, N
-4099 , -664, Y
-4129 , -677, Y
-3675 , -542, Y
-3670 , -595, Y
-2621 , -540, N
-3756 , -623, N
-2813 , -418, N
-2589 , -500, Y
-3283 , -549, N
