@RELATION train_model_lap_smoothing_50.arff

@ATTRIBUTE x_value NUMERIC
@ATTRIBUTE y_value NUMERIC
@ATTRIBUTE clase { N, Y }

@DATA
-5822 , -1434, Y
-8873 , -1977, N
-6054 , -1376, Y
-6058 , -1365, Y
-5798 , -1236, Y
-6073 , -1172, Y
-5828 , -1402, N
-7944 , -1617, Y
-7102 , -1410, N
-5871 , -1368, N
-5796 , -1439, Y
-4128 , -907, N
-7070 , -1351, Y
-8404 , -1842, N
-6262 , -1124, Y
-5780 , -1308, Y
-8013 , -1659, N
-7679 , -1439, Y
-5821 , -1600, N
-7169 , -1389, N
-5038 , -1013, N
-7773 , -1581, Y
-4191 , -952, N
-6765 , -1699, N
-4681 , -967, N
-6395 , -1236, N
-6240 , -1134, Y
-5759 , -1321, Y
-7756 , -1654, N
-6247 , -1124, Y
-5760 , -1234, Y
-10708 , -2337, N
-5773 , -1319, Y
-5472 , -1177, Y
-3901 , -880, N
-5750 , -1236, Y
-6480 , -1273, N
-5903 , -1447, N
-6083 , -1178, Y
-7090 , -1350, Y
-3859 , -836, N
-6265 , -1507, N
-6708 , -1618, N
-4141 , -922, N
-7658 , -1578, Y
-6719 , -1297, N
-8175 , -1721, N
-6251 , -1453, Y
-6218 , -1128, Y
-5750 , -1246, Y
-4263 , -755, N
-4582 , -933, N
-5923 , -1377, Y
-6218 , -1128, Y
-8108 , -1703, N
-5007 , -1012, N
-6083 , -1174, Y
-6252 , -1454, Y
-5760 , -1234, Y
-5745 , -1234, Y
-5769 , -1254, Y
-5841 , -1044, Y
-6347 , -1206, N
-6098 , -1379, Y
-5848 , -1448, Y
-5951 , -1495, N
-4820 , -1082, N
-7197 , -1463, Y
-8779 , -1905, Y
-6476 , -1260, N
-7057 , -1343, Y
-4475 , -945, N
-4456 , -904, N
-6576 , -1327, N
-7930 , -1542, N
-6807 , -1366, N
-5591 , -1252, N
-5781 , -1245, Y
-7067 , -1343, Y
-8035 , -1511, Y
-5019 , -1015, N
-4928 , -1093, N
-5816 , -1253, Y
-6098 , -1411, N
-18295 , -4055, N
-8035 , -1511, Y
-4879 , -979, N
-5922 , -1340, Y
-5825 , -1263, N
-5795 , -1557, Y
-5829 , -1384, N
-8724 , -1902, Y
-8732 , -1902, Y
-7898 , -1635, Y
-7782 , -1561, Y
-5772 , -1377, N
-8034 , -1525, N
-5879 , -1117, N
-5768 , -1318, Y
-7283 , -1476, N
