@RELATION train_model_GT_smoothing_50.arff

@ATTRIBUTE x_value NUMERIC
@ATTRIBUTE y_value NUMERIC
@ATTRIBUTE clase { N, Y }

@DATA
-5478 , -1083, Y
-8168 , -1376, N
-5403 , -974, Y
-5430 , -959, Y
-5385 , -892, Y
-5721 , -923, Y
-5538 , -985, N
-7514 , -1166, Y
-6521 , -1084, N
-5554 , -968, N
-5473 , -1093, Y
-3840 , -607, N
-6643 , -1041, Y
-7661 , -1340, N
-5942 , -882, Y
-5350 , -976, Y
-7431 , -1191, N
-7202 , -1109, Y
-5477 , -1124, N
-6773 , -1089, N
-4727 , -740, N
-7308 , -1153, Y
-3874 , -634, N
-6340 , -1077, N
-4377 , -727, N
-5832 , -966, N
-5921 , -878, Y
-5294 , -1030, Y
-7226 , -1123, N
-5908 , -891, Y
-5409 , -919, Y
-9952 , -1654, N
-5306 , -1024, Y
-5268 , -937, Y
-3678 , -658, N
-5393 , -930, Y
-5906 , -988, N
-5488 , -965, N
-5702 , -912, Y
-6640 , -1041, Y
-3659 , -660, N
-5596 , -1018, N
-6276 , -1156, N
-3866 , -700, N
-7121 , -1132, Y
-6191 , -1018, N
-7606 , -1193, N
-5574 , -1016, Y
-5900 , -881, Y
-5413 , -934, Y
-3970 , -608, N
-4344 , -688, N
-5493 , -1010, Y
-5900 , -881, Y
-7532 , -1144, N
-4704 , -726, N
-5711 , -918, Y
-5563 , -1014, Y
-5409 , -919, Y
-5414 , -950, Y
-5367 , -958, Y
-5545 , -782, Y
-5924 , -933, N
-5416 , -964, Y
-5435 , -1047, Y
-5494 , -1038, N
-4512 , -785, N
-6552 , -1048, Y
-8142 , -1337, Y
-6135 , -1054, N
-6655 , -1035, Y
-4175 , -709, N
-4229 , -710, N
-6157 , -1010, N
-7282 , -1169, N
-6195 , -1040, N
-5292 , -916, N
-5403 , -903, Y
-6636 , -1032, Y
-7440 , -1086, Y
-4667 , -748, N
-4534 , -793, N
-5333 , -910, Y
-5491 , -989, N
-17270 , -2848, N
-7440 , -1086, Y
-4598 , -730, N
-5564 , -962, Y
-5356 , -905, N
-5394 , -1049, Y
-5537 , -986, N
-8150 , -1368, Y
-8202 , -1373, Y
-7468 , -1129, Y
-7343 , -1136, Y
-5373 , -1025, N
-7512 , -1234, N
-5562 , -873, N
-5351 , -952, Y
-6684 , -1091, N
