@RELATION train_model_no_smoothing_50.arff

@ATTRIBUTE x_value NUMERIC
@ATTRIBUTE y_value NUMERIC
@ATTRIBUTE clase { N, Y }

@DATA
-5429 , -1065, Y
-8135 , -1331, N
-5434 , -930, Y
-5431 , -906, Y
-5315 , -885, Y
-5643 , -897, Y
-5459 , -918, N
-7474 , -1143, Y
-6410 , -1053, N
-5496 , -916, N
-5435 , -1047, Y
-3776 , -554, N
-6621 , -1002, Y
-7663 , -1284, N
-5883 , -864, Y
-5240 , -947, Y
-7394 , -1155, N
-7190 , -1075, Y
-5433 , -1025, N
-6709 , -1031, N
-4709 , -686, N
-7317 , -1108, Y
-3773 , -567, N
-6293 , -989, N
-4371 , -697, N
-5790 , -949, N
-5835 , -861, Y
-5239 , -1004, Y
-7161 , -1091, N
-5830 , -861, Y
-5355 , -887, Y
-9861 , -1548, N
-5220 , -991, Y
-5248 , -900, Y
-3625 , -609, N
-5351 , -912, Y
-5843 , -965, N
-5381 , -944, N
-5650 , -878, Y
-6637 , -1017, Y
-3634 , -653, N
-5479 , -974, N
-6271 , -1102, N
-3845 , -664, N
-7130 , -1085, Y
-6173 , -1003, N
-7528 , -1194, N
-5465 , -981, Y
-5836 , -863, Y
-5357 , -891, Y
-3923 , -578, N
-4337 , -655, N
-5452 , -1005, Y
-5836 , -863, Y
-7517 , -1103, N
-4672 , -692, N
-5677 , -911, Y
-5530 , -995, Y
-5355 , -887, Y
-5352 , -931, Y
-5282 , -910, Y
-5462 , -757, Y
-5859 , -897, N
-5387 , -883, Y
-5392 , -1035, Y
-5401 , -961, N
-4500 , -732, N
-6550 , -1015, Y
-8119 , -1251, Y
-6005 , -1014, N
-6640 , -1025, Y
-4098 , -653, N
-4240 , -657, N
-6071 , -978, N
-7243 , -1091, N
-6220 , -1042, N
-5257 , -874, N
-5349 , -878, Y
-6626 , -1016, Y
-7463 , -1080, Y
-4602 , -725, N
-4555 , -755, N
-5303 , -876, Y
-5403 , -923, N
-17062 , -2782, N
-7463 , -1080, Y
-4602 , -699, N
-5547 , -931, Y
-5214 , -812, N
-5333 , -1001, Y
-5462 , -918, N
-8093 , -1315, Y
-8129 , -1289, Y
-7452 , -1110, Y
-7313 , -1105, Y
-5236 , -963, N
-7495 , -1180, N
-5542 , -809, N
-5262 , -909, Y
-6502 , -1057, N
